review,sentiment
"Not all movies should have that predictable ending that we are all so use to, and it's great to see movies with really unusual twists. However with that said, I was really disappointed in l'apartment's ending. In my opinion the ending didn't really fit in with the rest of the movie and it basically destroyed the story that was being told.<br /><br />You spend the whole movie discovering everyone and their feelings but the events in the final 2 minutes of the movie would have impacted majorly on everyones character but the movie ends and leaves it all too wide open.<br /><br />Overall though this movie was very well made, and unlike similar movies such as Serendipity all the scenes were believable and didn't go over the top.",positive
"I can't believe that anyone would green light this let alone voluntarily star in it. I will never be able to get that 90 mins of my life back.<br /><br />This has to be one of the worst films I have ever seen. Some films are so bad they're good. This has gone so far round again that's somehow it's so bad it's terrible. I was not exactly expecting much, it being a low budget, bandwagon jumping, rehash of a B Movie, but it still came in way under my expectation levels. Even TV movies have higher production values.<br /><br />There were (very) poor special effects, shocking dialogue, terrible acting and a completely unexplained plot. Who cursed her and why, why did the 6 inch snakes turn into 15 foot snakes, has anyone ever heard of highly venomous garter snakes or pythons? 100 passengers? 3,000 snakes? So many promises, none delivered. <br /><br />Some comments would have you believe that this film is worth watching for the last five minutes. It's not even worth a rental. Stay in and watch a low budget TV movie, you'll enjoy it a lot more. <br /><br />Why was this made? Oh yes, to shamelessly cash in on the internet phenomenon that is SOAP. Shame on you Mallachi Brothers, shame on you",negative
"As always Joan Hickson is wonderful as Jane M. Subtle, sharp and aware. I do not wish to dwell on her acting skills as they are praised enough on this site. I would like to criticize some of the smaller parts as the rest of the cast seemed to be hand picked by director David Tucker.<br /><br />Liz Fraser's performance as Mrs. Bent (the mother of the missing girl Nora) is a joy to watch. Subtle and deeply moving as the alcohol-depending grieving mother who loves and misses her daughter desperately. A good long shot of her monologue (thanks Tucker!) so she can be enjoyed to the fullest. I was moved when I saw her the first time when it was broadcast and I am moved again, now I have it on DVD. Brava.<br /><br />Joanna Hole as Madge the tour-guide I find highly amusing. She is on the edge of over-acting but her role can have it. She is SO funny as the over-organized guide who wants to do good with everyone on that bus, I find her hilarious. Her reaction after she boarded every-one on the bus is great... As always: to perform comedy one has to take it very seriously, and that's what Ms Hole does.<br /><br />I do hope those two ladies have good careers (as I live in Holland I do not know if they have, not all theater productions can be googled...) -their performances on the screen deserve it.<br /><br />Pieter",positive
"Being an unrelenting non-stop over-the-top explosive melodrama, this movie is one of the worst action flicks ever produced, and utterly unbelievable in every way. The pace is constantly fever-pitched, and all the action and the actors are gripped by total hysteria. It is nigh unwatchable, and a stain - nay, a blotch - on the careers of everyone involved.<br /><br />The wildly exaggerated attempt at excitement undermines itself, resulting in a movie where you just go ""Come on!"" all the time. The setting and the events are impossible to take even remotely seriously. I can only rate this abomination a 1 out of 10.<br /><br />If you want to see a good asteroid movie, see Deep Impact, which is intense, sensitive and thoroughly engrossing. Everything Armageddon is not.",negative
"""9/11,"" hosted by Robert DeNiro, presents footage from outside and inside the Twin Towers in New York, on September 11, 2001.<br /><br />Never too grisly and gory, yet powerful and moving. ""9/11"" is a real treat. Anyone not moved by this television show is immune to anything.<br /><br />5/5 stars --<br /><br />",positive
"The recent boom of dating show on U. S. television screens has reached a fevered pitch since the first episode of ""The Bachelor."" Unsuspecting audiences have since been subjected to countless clones and variations, including ""The Bachelorette"", ""Joe Millionaire"", ""For Love Or Money"", and the execrable ""Married By America."" Hoping to cash in on this trend, and simultaneously tap and exploit a new demographic, Bravo has unleashed the disastrous ""Boy Meets Boy"" upon the world. And may they have mercy on us all.<br /><br />The premise is simple and is designed to be light-hearted: an eligible gay man is courted by a number of suitors, eliminated show by show until one is left, but there's a twist. Half of the men are actually straight. This is not much of a big deal, but the inherent viciousness of the scenario kicks in after hearing the pay-off: if, at the end of the show, the gay man picks a straight man in disguise, the straight man wins a cash prize. The gay man gets nothing, or at least nothing more than a few parting gifts, a pat on the back, and a hearty round of ""Aren't you embarrassed? Well, thanks for playing!""<br /><br />Just the like the equally painful ""Queer Eye For The Straight Guy"" (another Bravo program), this show is another example of stereotypes run amok. What makes it even worse, though, is the fact that straight men are playing UP these stereotypes for cash. The producers of this show believe that all you have to do is put enough hair gel in a man's hair, dress up in Abercrombie & Fitch with a pair of designer sandals, strip him of all body hair and fat and voila! It's the gay equivalent to putting a white performer in blackface, and just as offensive to those of us -- like myself -- who are genuinely gay and don't dress/act like that. It implies that gays have no variance or chance for individuality, that they can't behave like real people, only like stereotypes. Never mind the fact that the bank of suitors is sorely lacking in any kind of diversity. All are gym-toned, most are white, and all look far too scrubbed and cleaned.<br /><br />This is another example of how, instead of fostering acceptance of gays as dynamic individuals capable of variance and change, Hollywood has again taken a stereotype and run with it all the way to the bank. I feel genuinely dirty watching this show, as show any gay man who sees this unabashed parade of soft-core pornography masquerading as legitimate television. 1 out of 10.",negative
"This has to be one of the most beautiful, moving, thought provoking films around. It's good family entertainment and at the same time makes you think very hard about the issues involved. Every time I see the ""ghost of Zac riding the bike through the puddle at the end I can't help but cry my eyes out. John Thaw's performance is so touching and it is a shame he is no longer with us. Gone but not forgotten. A outstanding film. Full marks.",positive
"Solid comedy entertainment, with musical interludes, it generates a fast pace that carries proceedings along in zestful tempo through a maze of humorous and chiller complications. Boris Karloff, Bela Lugosi and Peter Lorre form a strong setup of sinister villainy. The script contains all the standard mystery film props-sliding panels, secret passageways, thunder and lightning and poisoned blow-darts. Karloff, Lugosi and Lorre go in for heavy leers and obvious melodramatics of the gaslit era. Kay Kyser and his band offered great entertainment for the people living in the 1940's who were trying to forget about the horror's of World War II.",negative
"The whole point of making this film, one of the earliest and best international color releases of cinematic opera, was to make it more accessible to the masses. And it succeeded admirably in doing so. The general public would not sit still for a love story about two young exotic lovers in ancient Egypt if played by the typical 300 pound over 40 tenor and soprano with the vocal equipment to sing the glorious music properly. Hence the visual substitution of the beautiful principals (a young Loren, handsome Della Marra, and a slinky Ms. Maxwell)who make the story much more believable, giving those not familiar with the plot or the music a better chance at being wooed into the lovely arias who otherwise might not be. Altogether, an enchanting introduction to one of Verdi's great works. I remember seeing this when I was in junior high school and it certainly awakened my interest in opera, a form with which I was then not well acquainted. I still regard this film fondly and would recommend it highly to those who might appreciate the great music accompanied by better than average visuals. Luciano Della Marra was a standout as Radames, and unfortunately for audiences did not appear in any other films.",positive
"Directed by Diane Keaton and adapted from a book by Franz Lidz. A young mother Selma Lidz(Andie MacDowell)is battling a very serious illness and her self proclaimed inventor husband Sid(John Tururro)is a little lacking in the emotions department. Unhappy with the new home situation, their sensitive son Steven(Nathan Watt)decides he wants to stay with his two eccentric uncles Danny(Michael Richards)and Melvin(Lou Cutell)until his mom is well. Steven seems to be happier and even takes interest in his strange uncle's living habits; he even decides he wants to change his name to Franz. Set in the early 60's, this drama is a bit comedic...change that to zany. Not being a MacDowell fan, UNSTRUNG HEROES assures my attitude; albeit I enjoyed the film and it is not a total waste.",negative
