,Manufacturer,Model,__year_resale_value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor,Sales_in_thousands
0,Acura,Integra,16.36,Passenger,21.5,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28.0,02-02-2012,58.28014952,16.919
1,Acura,TL,19.875,Passenger,28.4,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25.0,06-03-2011,91.37077766,39.384
2,Acura,CL,18.225,Passenger,27.390754838709682,3.2,225.0,106.9,70.6,192.0,3.47,17.2,26.0,01-04-2012,77.0435912007742,14.114
3,Acura,RL,29.725,Passenger,42.0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22.0,03-10-2011,91.38977933,8.588
4,Audi,A4,22.255,Passenger,23.99,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27.0,10-08-2011,62.7776392,20.397
5,Audi,A6,23.555,Passenger,33.95,2.8,200.0,108.7,76.1,192.0,3.561,18.5,22.0,08-09-2011,84.56510502,18.78
6,Audi,A8,39.0,Passenger,62.0,4.2,310.0,113.0,74.0,198.2,3.902,23.7,21.0,2/27/2012,134.6568582,24.43
7,BMW,323i,18.07297520661157,Passenger,26.99,2.5,170.0,107.3,68.4,176.0,3.179,16.6,26.0,6/28/2011,71.19120671,19.747
8,BMW,328i,28.675,Passenger,33.4,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24.0,1/29/2012,81.87706856,9.231
9,BMW,528i,36.125,Passenger,38.9,2.8,193.0,111.4,70.9,188.0,3.472,18.5,25.0,04-04-2011,83.9987238,17.527
10,Buick,Century,12.475,Passenger,21.975,3.1,175.0,109.0,72.7,194.6,3.368,17.5,25.0,11-02-2011,71.18145132,91.561
11,Buick,Regal,13.74,Passenger,25.3,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23.0,09-03-2011,95.63670253,39.35
12,Buick,Park Avenue,20.19,Passenger,31.965,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24.0,3/23/2012,85.82840825,27.851
13,Buick,LeSabre,13.36,Passenger,27.885,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25.0,7/23/2011,84.25452581,83.257
14,Cadillac,DeVille,22.525,Passenger,39.895,4.6,275.0,115.3,74.5,207.2,3.978,18.5,22.0,2/23/2012,113.8545976,63.729
15,Cadillac,Seville,27.1,Passenger,44.475,4.6,275.0,112.2,75.0,201.0,3.378025806451613,18.5,22.0,4/29/2011,115.6213578,15.943
16,Cadillac,Eldorado,25.725,Passenger,39.665,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0,11/27/2011,113.7658739,6.536
17,Cadillac,Catera,18.225,Passenger,31.01,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22.0,9/28/2011,83.48309358,11.185
18,Cadillac,Escalade,18.07297520661157,Car,46.225,5.7,255.0,117.5,77.0,201.2,5.572,30.0,15.0,4/17/2012,109.5091165,14.785
19,Chevrolet,Cavalier,9.25,Passenger,13.26,2.2,115.0,104.1,67.9,180.9,2.676,14.3,27.0,8/17/2011,46.36334747,145.519
20,Chevrolet,Malibu,11.225,Passenger,16.535,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25.0,3/19/2012,67.31446216,135.126
21,Chevrolet,Lumina,10.31,Passenger,18.89,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25.0,5/24/2011,69.9913956,24.629
22,Chevrolet,Monte Carlo,11.525,Passenger,19.39,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27.0,12/22/2011,72.03091719,42.593
23,Chevrolet,Camaro,13.025,Passenger,24.34,3.8,200.0,101.1,74.1,193.2,3.5,16.8,25.0,10/23/2011,81.11854333,26.402
24,Chevrolet,Corvette,36.225,Passenger,45.705,5.7,345.0,104.5,73.6,179.7,3.21,19.1,22.0,05-12-2012,141.14115,17.947
25,Chevrolet,Prizm,9.125,Passenger,13.96,1.8,120.0,97.1,66.7,174.3,2.398,13.2,33.0,09-11-2011,48.2976361,32.299
26,Chevrolet,Metro,5.16,Passenger,9.235,1.0,55.0,93.1,62.6,149.4,1.895,10.3,45.0,4/13/2012,23.27627233,21.855
27,Chevrolet,Impala,18.07297520661157,Passenger,18.89,3.4,180.0,110.5,73.0,200.0,3.389,17.0,27.0,6/18/2011,71.83803944,107.995
28,Chrysler,Sebring Coupe,12.36,Passenger,19.84,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24.0,1/16/2012,65.95718396,7.854
29,Chrysler,Sebring Conv.,14.18,Passenger,24.495,2.5,168.0,106.0,69.2,193.0,3.332,16.0,24.0,11/17/2011,69.52135505,32.775
30,Chrysler,Concorde,13.725,Passenger,22.245,2.7,200.0,113.0,74.4,209.1,3.452,17.0,26.0,06-06-2012,80.02378204,31.148
31,Chrysler,Cirrus,12.64,Passenger,16.48,2.0,132.0,108.0,71.0,186.0,2.911,16.0,27.0,10-06-2011,53.56619987,32.306
32,Chrysler,LHS,17.325,Passenger,28.34,3.5,253.0,113.0,74.4,207.7,3.564,17.0,23.0,05-08-2012,101.3292807,13.462
33,Chrysler,Town & Country,19.54,Car,27.390754838709682,3.0608974358974357,185.94871794871796,107.48717948717946,71.15,187.34358974358975,3.378025806451613,17.951923076923077,23.844155844155843,7/13/2011,77.0435912007742,53.48
34,Chrysler,300M,18.07297520661157,Passenger,29.185,3.5,253.0,113.0,74.4,197.8,3.567,17.0,23.0,02-10-2012,101.6552441,30.696
35,Dodge,Neon,7.75,Passenger,12.64,2.0,132.0,105.0,74.4,174.4,2.567,12.5,29.0,12-12-2011,52.08489875,76.034
36,Dodge,Avenger,12.545,Passenger,19.045,2.5,163.0,103.7,69.1,190.2,2.879,15.9,24.0,07-01-2012,65.65050834,4.734
37,Dodge,Stratus,10.185,Passenger,20.23,2.5,168.0,108.0,71.0,186.0,3.058,16.0,24.0,10/31/2011,67.87610784,71.186
38,Dodge,Intrepid,12.275,Passenger,22.505,2.7,202.0,113.0,74.7,203.7,3.489,17.0,23.844155844155843,06-02-2012,80.83147017,88.028
39,Dodge,Viper,58.47,Passenger,69.725,8.0,450.0,96.2,75.7,176.7,3.375,19.0,16.0,08-07-2011,188.144323,0.916
40,Dodge,Ram Pickup,15.06,Car,19.46,5.2,230.0,138.7,79.3,224.2,4.47,26.0,17.0,03-06-2012,90.21170005,227.061
41,Dodge,Ram Wagon,15.51,Car,21.315,3.9,175.0,109.6,78.8,192.6,4.245,32.0,15.0,01-06-2012,71.13529161,16.767
42,Dodge,Ram Van,13.425,Car,18.575,3.9,175.0,127.2,78.8,208.5,4.298,32.0,16.0,7/26/2012,70.07832154,31.038
43,Dodge,Dakota,11.26,Car,16.98,2.5,120.0,131.0,71.5,215.0,3.557,22.0,19.0,11/25/2011,49.64500177,111.313
44,Dodge,Durango,18.07297520661157,Car,26.31,5.2,230.0,115.7,71.7,193.5,4.394,25.0,17.0,6/27/2012,92.85412522,101.323
45,Dodge,Caravan,12.025,Car,19.565,2.4,150.0,113.3,76.8,186.3,3.533,20.0,24.0,09-01-2011,61.22700031,181.749
46,Ford,Escort,7.425,Passenger,12.07,2.0,110.0,98.4,67.0,174.7,2.468,12.7,30.0,3/31/2012,44.08370946,70.227
47,Ford,Mustang,12.76,Passenger,21.56,3.8,190.0,101.3,73.1,183.2,3.203,15.7,24.0,1/31/2012,76.50918456,113.369
48,Ford,Contour,8.835,Passenger,17.035,2.5,170.0,106.5,69.1,184.6,2.769,15.0,25.0,8/20/2012,67.35101072,35.068
49,Ford,Taurus,10.055,Passenger,17.885,3.0,155.0,108.5,73.0,197.6,3.368,16.0,24.0,12/20/2011,62.5037395,245.815
50,Ford,Focus,18.07297520661157,Passenger,12.315,2.0,107.0,103.0,66.9,174.8,2.564,13.2,30.0,7/22/2012,43.11713201,175.67
51,Ford,Crown Victoria,14.21,Passenger,22.195,4.6,200.0,114.7,78.2,212.0,3.908,19.0,21.0,9/26/2011,80.49953671,63.403
52,Ford,Explorer,16.64,Car,31.93,4.0,210.0,111.6,70.2,190.7,3.876,21.0,19.0,4/25/2012,87.63549578,276.747
53,Ford,Windstar,13.175,Car,21.41,3.0,150.0,120.7,76.6,200.9,3.761,26.0,21.0,2/25/2012,62.09504839,155.787
54,Ford,Expedition,23.575,Car,36.135,4.6,240.0,119.0,78.7,204.6,4.808,26.0,16.0,9/14/2012,100.0248023,125.338
55,Ford,Ranger,7.85,Car,12.05,2.5,119.0,117.5,69.4,200.7,3.086,20.0,23.0,1/14/2012,47.38953131,220.65
56,Ford,F-Series,15.075,Car,26.935,4.6,220.0,138.5,79.1,224.5,4.241,25.1,18.0,8/16/2012,89.40193473,540.561
57,Honda,Civic,9.85,Passenger,12.885,1.6,106.0,103.2,67.1,175.1,2.339,11.9,32.0,10/21/2011,42.87909734,199.685
58,Honda,Accord,13.21,Passenger,15.35,2.3,135.0,106.9,70.3,188.8,2.932,17.1,27.0,5/20/2012,54.26954829,230.902
59,Honda,CR-V,17.71,Car,20.55,2.0,146.0,103.2,68.9,177.6,3.219,15.3,24.0,3/21/2012,60.08796662,73.203
60,Honda,Passport,17.525,Car,26.6,3.2,205.0,106.4,70.4,178.2,3.857,21.1,19.0,10-09-2012,83.6025008,12.855
61,Honda,Odyssey,19.49,Car,26.0,3.5,210.0,118.1,75.6,201.2,4.288,20.0,23.0,02-08-2012,85.21769134,76.029
62,Hyundai,Accent,5.86,Passenger,9.699,1.5,92.0,96.1,65.7,166.7,2.24,11.9,31.0,09-10-2012,36.67228358,41.184
63,Hyundai,Elantra,7.825,Passenger,11.799,2.0,140.0,100.4,66.9,174.0,2.626,14.5,27.0,11/15/2011,54.59004516,66.692
64,Hyundai,Sonata,8.91,Passenger,14.999,2.4,148.0,106.3,71.6,185.4,3.072,17.2,25.0,6/14/2012,58.758249,29.45
65,Infiniti,I30,19.69,Passenger,29.465,3.0,227.0,108.3,70.2,193.7,3.342,18.5,25.0,4/15/2012,92.43688923,23.713
66,Jaguar,S-Type,18.07297520661157,Passenger,42.8,3.0,240.0,114.5,71.6,191.3,3.65,18.4,21.0,11-03-2012,102.1789848,15.467
67,Jeep,Wrangler,13.475,Car,14.46,2.5,120.0,93.4,66.7,152.0,3.045,19.0,17.0,03-04-2012,48.67289791,55.557
68,Jeep,Cherokee,13.775,Car,21.62,4.0,190.0,101.4,69.4,167.5,3.194,20.0,20.0,10-05-2012,76.58443962,80.556
69,Jeep,Grand Cherokee,18.81,Car,26.895,4.0,195.0,105.9,72.3,181.5,3.88,20.5,19.0,12-10-2011,80.38777912,157.04
70,Lexus,ES300,26.975,Passenger,31.505,3.0,210.0,105.1,70.5,190.2,3.373,18.5,23.0,07-09-2012,87.21100104,24.072
